KYCRSP_FUNDNO;FSTYBEGDT;FSTYENDDT;LIPPER_OBJ_CD;LIPPER_CLASS
3160;31/12/1999;30/03/2008;SUT;SUT
3160;31/03/2008;30/04/2012;SUT;SUT
3160;01/05/2012;31/05/2012;SUT;SUT
3160;01/06/2012;30/06/2012;SUT;SUT
3160;31/12/1999;30/03/2008;SUT;SUT
3160;31/03/2008;30/04/2012;SUT;SUT
3160;01/05/2012;31/05/2012;SUT;SUT
3160;01/06/2012;30/06/2012;SUT;SUT
3160;31/12/1999;30/03/2008;SUT;SUT
3160;31/03/2008;30/04/2012;SUT;SUT
3160;01/05/2012;31/05/2012;SUT;SUT
3160;01/06/2012;30/06/2012;SUT;SUT
